sample_index,time_ps,harmonic_hartree,total_PE_hartree,intramolecular_hartree,lj_hartree,coulombic_hartree,T_kinetic_K
101,20200.000000,0.2046610929,-0.4576898971,0.2046610929,-0.6623509900,0.0000000000,403.286674
102,20300.000000,0.2303406314,-0.4813029759,0.2303406314,-0.7116436072,0.0000000000,375.025412
103,20400.000000,0.2166808178,-0.4429369947,0.2166808178,-0.6596178125,0.0000000000,400.764205
104,20500.000000,0.2018672623,-0.4793038962,0.2018672623,-0.6811711585,0.0000000000,425.170762
105,20600.000000,0.1821440022,-0.4959492849,0.1821440022,-0.6780932871,0.0000000000,392.359586
106,20700.000000,0.2490726129,-0.4390363571,0.2490726129,-0.6881089700,0.0000000000,399.345053
107,20800.000000,0.2512850689,-0.4331164510,0.2512850689,-0.6844015199,0.0000000000,407.765489
108,20900.000000,0.2264928026,-0.4532283199,0.2264928026,-0.6797211225,0.0000000000,403.925230
109,21000.000000,0.2092827792,-0.5103339624,0.2092827792,-0.7196167415,0.0000000000,404.356910
110,21100.000000,0.2426776278,-0.4511899124,0.2426776278,-0.6938675403,0.0000000000,402.218083
111,21200.000000,0.2135697118,-0.4659031405,0.2135697118,-0.6794728523,0.0000000000,396.200393
112,21300.000000,0.2443255700,-0.4328183622,0.2443255700,-0.6771439322,0.0000000000,384.401213
113,21400.000000,0.2470712515,-0.4594246454,0.2470712515,-0.7064958969,0.0000000000,386.934880
114,21500.000000,0.2481826356,-0.4148062684,0.2481826356,-0.6629889040,0.0000000000,373.603990
115,21600.000000,0.2299369134,-0.4678857228,0.2299369134,-0.6978226362,0.0000000000,417.585695
116,21700.000000,0.2392089120,-0.4445823106,0.2392089120,-0.6837912226,0.0000000000,376.859839
117,21800.000000,0.2113002744,-0.4758885999,0.2113002744,-0.6871888744,0.0000000000,433.380642
118,21900.000000,0.2810779143,-0.4111433268,0.2810779143,-0.6922212411,0.0000000000,398.231790
119,22000.000000,0.2254162778,-0.4321499514,0.2254162778,-0.6575662292,0.0000000000,412.564207
120,22100.000000,0.2238693020,-0.4939073008,0.2238693020,-0.7177766028,0.0000000000,409.978429
121,22200.000000,0.2470303455,-0.4687491636,0.2470303455,-0.7157795091,0.0000000000,377.042753
122,22300.000000,0.2523409636,-0.4541864255,0.2523409636,-0.7065273891,0.0000000000,378.655742
123,22400.000000,0.2538065342,-0.4156966339,0.2538065342,-0.6695031681,0.0000000000,397.395287
124,22500.000000,0.2539966509,-0.4483904904,0.2539966509,-0.7023871413,0.0000000000,400.887883
125,22600.000000,0.2369090673,-0.4983953300,0.2369090673,-0.7353043974,0.0000000000,402.058346
126,22700.000000,0.2582203909,-0.4681464483,0.2582203909,-0.7263668392,0.0000000000,377.916764
127,22800.000000,0.2399208248,-0.4457363241,0.2399208248,-0.6856571489,0.0000000000,382.431284
128,22900.000000,0.2574540294,-0.4517119171,0.2574540294,-0.7091659465,0.0000000000,367.145967
129,23000.000000,0.2663644650,-0.4477766891,0.2663644650,-0.7141411541,0.0000000000,396.582783
130,23100.000000,0.2312778361,-0.4848064248,0.2312778361,-0.7160842609,0.0000000000,411.021025
