time_ps,T_bath_K,T_bath_K_std,T_kinetic_K,T_kinetic_K_std,T_v_fictive_K,T_v_fictive_K_std,T_s_fictive_K,T_s_fictive_K_std,E_bond_kjmol,E_bond_kjmol_std,E_nonbonded_kjmol,E_nonbonded_kjmol_std,E_cav_harmonic_kjmol,E_cav_harmonic_kjmol_std,E_cav_coupling_kjmol,E_cav_coupling_kjmol_std,E_cav_dse_kjmol,E_cav_dse_kjmol_std
3.900000,100.0000,0.0000,98.9057,3.6041,80.1039,6.3372,107.5839,3.7658,112.7676,8.9213,-3692.8413,24.4174,1.1625,0.9084,0.0000,0.0000,0.0000,0.0000
4.000000,100.0000,0.0000,98.8051,2.2496,84.9842,4.3670,106.1759,3.7948,119.6380,6.1477,-3702.0306,24.8352,0.9180,0.4210,0.0000,0.0000,0.0000,0.0000
4.100000,100.0000,0.0000,97.7098,1.9594,82.3453,4.9134,107.3466,4.2576,115.9230,6.9169,-3694.4404,27.7205,1.3564,1.1106,0.0000,0.0000,0.0000,0.0000
4.200000,100.0000,0.0000,99.4018,4.2384,79.7757,6.1193,106.7352,3.3937,112.3056,8.6145,-3698.3364,22.1665,1.0257,1.0137,0.0000,0.0000,0.0000,0.0000
4.300000,100.0000,0.0000,98.8584,2.0644,84.8475,4.8154,106.2244,3.7088,119.4455,6.7790,-3701.7040,24.2380,1.0643,1.0199,0.0000,0.0000,0.0000,0.0000
4.400000,100.0000,0.0000,99.3711,3.8216,78.6222,5.2718,107.3619,2.0021,110.6818,7.4215,-3694.1509,13.0527,1.3404,0.9758,0.0000,0.0000,0.0000,0.0000
4.500000,100.0000,0.0000,99.0845,2.9581,80.4849,5.4782,108.2198,3.4345,113.3039,7.7120,-3688.6811,22.3124,0.8010,0.5091,0.0000,0.0000,0.0000,0.0000
4.600000,100.0000,0.0000,99.1880,1.9606,82.5883,5.3792,106.9322,2.1486,116.2651,7.5727,-3696.9578,13.9962,1.2620,1.1351,0.0000,0.0000,0.0000,0.0000
4.700000,100.0000,0.0000,101.4937,1.8168,77.4480,8.2141,106.4179,3.0170,109.0287,11.5635,-3700.3766,19.7523,1.1034,0.8691,0.0000,0.0000,0.0000,0.0000
4.800000,100.0000,0.0000,101.6228,2.4088,82.2375,4.2091,105.8098,1.4427,115.7712,5.9255,-3704.2585,9.4662,0.8885,0.7681,0.0000,0.0000,0.0000,0.0000
4.900000,100.0000,0.0000,100.6636,2.1458,81.7970,6.0888,107.2549,2.5940,115.1511,8.5716,-3694.8852,17.0279,1.2621,1.0200,0.0000,0.0000,0.0000,0.0000
5.000000,100.0000,0.0000,100.1276,2.9008,79.8001,8.1176,108.4139,2.3207,112.3400,11.4277,-3687.3366,15.0443,0.9046,0.6760,0.0000,0.0000,0.0000,0.0000
5.100000,100.0000,0.0000,100.1907,2.9494,84.4046,3.6824,106.6985,3.7815,118.8220,5.1839,-3698.6115,24.5500,1.2810,0.8059,0.0000,0.0000,0.0000,0.0000
5.200000,100.0000,0.0000,101.0565,2.7676,81.6230,6.7028,106.0606,2.8356,114.9062,9.4359,-3702.6974,18.5173,1.1498,0.9018,0.0000,0.0000,0.0000,0.0000
5.300000,100.0000,0.0000,99.6809,2.7132,83.3337,5.1494,107.1002,3.9112,117.3144,7.2492,-3696.0079,25.5178,0.8733,0.6222,0.0000,0.0000,0.0000,0.0000
5.400000,100.0000,0.0000,99.0183,2.3805,85.7343,4.8244,107.0257,1.9660,120.6940,6.7916,-3696.3385,12.8459,1.2195,0.7347,0.0000,0.0000,0.0000,0.0000
5.500000,100.0000,0.0000,99.9588,3.4017,81.8781,5.8528,106.6677,2.3677,115.2652,8.2393,-3698.6965,15.3999,0.9207,0.8537,0.0000,0.0000,0.0000,0.0000
5.600000,100.0000,0.0000,99.0133,3.4884,83.5721,4.2701,106.2514,3.2722,117.6501,6.0113,-3701.4863,21.3894,0.8774,0.6964,0.0000,0.0000,0.0000,0.0000
5.700000,100.0000,0.0000,98.8714,2.6296,83.5812,5.5524,107.3714,2.9494,117.6629,7.8164,-3694.1511,19.1519,1.1759,1.0005,0.0000,0.0000,0.0000,0.0000
5.800000,100.0000,0.0000,99.9989,3.1504,81.4077,5.3767,106.9376,4.1362,114.6030,7.5691,-3697.0958,27.2024,0.8492,0.9764,0.0000,0.0000,0.0000,0.0000
5.900000,100.0000,0.0000,100.2457,3.1196,82.1077,4.6240,106.4875,3.2861,115.5885,6.5095,-3699.9432,21.4009,0.8931,0.6210,0.0000,0.0000,0.0000,0.0000
6.000000,100.0000,0.0000,101.5513,4.0932,80.5537,7.0632,104.7539,2.9547,113.4009,9.9434,-3711.2832,19.4344,0.7807,0.4633,0.0000,0.0000,0.0000,0.0000
6.100000,100.0000,0.0000,99.1382,3.8729,79.2502,5.3637,107.9437,3.2136,111.5659,7.5508,-3690.4512,20.7291,0.7522,0.8905,0.0000,0.0000,0.0000,0.0000
6.200000,100.0000,0.0000,100.6646,3.0625,80.9834,5.7080,105.8640,2.1486,114.0057,8.0355,-3703.9379,14.0645,0.7473,0.5625,0.0000,0.0000,0.0000,0.0000
6.300000,100.0000,0.0000,100.2706,2.3209,80.3226,7.9010,106.0846,3.2287,113.0755,11.1227,-3702.5735,21.1267,0.6563,0.5901,0.0000,0.0000,0.0000,0.0000
6.400000,100.0000,0.0000,99.4172,2.4389,80.8583,3.7326,105.9991,2.4540,113.8296,5.2547,-3703.0717,15.9694,0.7696,0.6915,0.0000,0.0000,0.0000,0.0000
6.500000,100.0000,0.0000,99.2519,2.8494,81.6602,6.5817,105.8565,3.1502,114.9584,9.2655,-3704.0620,20.7827,0.7153,0.7869,0.0000,0.0000,0.0000,0.0000
6.600000,100.0000,0.0000,100.1145,3.0884,81.4980,6.2574,105.5497,3.3463,114.7302,8.8090,-3706.0894,21.9841,0.6990,0.9084,0.0000,0.0000,0.0000,0.0000
6.700000,100.0000,0.0000,100.2112,3.5574,82.3515,3.1356,105.3758,2.9885,115.9317,4.4142,-3707.1969,19.4959,0.9853,0.9605,0.0000,0.0000,0.0000,0.0000
6.800000,100.0000,0.0000,98.4251,3.4351,83.8592,5.2070,107.0776,2.9843,118.0542,7.3302,-3696.0677,19.4348,0.8261,0.6481,0.0000,0.0000,0.0000,0.0000
6.900000,100.0000,0.0000,99.0700,2.4918,82.2864,4.7789,106.6877,3.0214,115.8401,6.7275,-3698.6142,19.7120,0.6684,0.5410,0.0000,0.0000,0.0000,0.0000
7.000000,100.0000,0.0000,98.8049,2.3966,83.1303,3.4756,106.8345,3.4686,117.0281,4.8928,-3697.6968,22.7190,0.8261,0.9089,0.0000,0.0000,0.0000,0.0000
7.100000,100.0000,0.0000,100.3320,2.7815,82.8382,4.9311,106.0931,1.8032,116.6169,6.9419,-3702.4197,11.8124,0.9803,0.8066,0.0000,0.0000,0.0000,0.0000
7.200000,100.0000,0.0000,99.3981,2.9233,80.9720,4.5958,106.8373,3.2218,113.9897,6.4698,-3697.6535,20.9249,0.6580,0.6297,0.0000,0.0000,0.0000,0.0000
7.300000,100.0000,0.0000,99.4250,3.6491,80.8829,4.5534,106.8339,2.7536,113.8644,6.4101,-3697.6398,18.0152,1.0236,0.8514,0.0000,0.0000,0.0000,0.0000
