# turn-on energies from lambda=0 equilibrium snapshots
# lambda_eval=0.042  T=100.0 K  burn_in_ps=1000.0
time_ps  E_coup_turnon_kjmol  E_coup_relaxed_kjmol  E_dse_kjmol
3170.000000  -23.28527641  -1574.22741699  787.11334229
3180.000000  49.26226807  -2199.79638672  1099.89770508
3190.000000  19.63860321  -683.91564941  341.95767212
3200.000000  -7.68316078  -2475.55151367  1237.77526855
3210.000000  26.02530098  -1868.98095703  934.49011230
3220.000000  9.42629337  -1364.22119141  682.11029053
3230.000000  26.12446785  -2542.52661133  1271.26269531
3240.000000  -42.69387436  -2351.47998047  1175.73950195
3250.000000  -12.95253563  -1610.74755859  805.37347412
3260.000000  -5.67386198  -10.66232014  5.33115816
3270.000000  -22.85304642  -441.70095825  220.85037231
3280.000000  11.49650002  -1277.09167480  638.54553223
3290.000000  8.40875149  -643.64129639  321.82052612
3300.000000  3.69939661  -1286.41967773  643.20953369
3310.000000  25.68633270  -2432.23095703  1216.11499023
3320.000000  -5.12890530  -573.44580078  286.72277832
3330.000000  46.38250351  -2260.96679688  1130.48291016
3340.000000  -4.29300404  -919.18371582  459.59164429
3350.000000  47.25348282  -2688.18847656  1344.09375000
3360.000000  -0.68719709  -3542.84863281  1771.42358398
3370.000000  57.90400314  -3789.84716797  1894.92285156
3380.000000  -10.85227776  -253.09245300  126.54617310
3390.000000  -1.11300528  -787.16503906  393.58233643
3400.000000  -41.06640244  -1392.64184570  696.32055664
3410.000000  19.31288528  -201.59855652  100.79923248
3420.000000  -17.70453644  -1098.43640137  549.21801758
3430.000000  -12.57641697  -2782.54052734  1391.26965332
3440.000000  10.35064888  -2769.83178711  1384.91540527
3450.000000  -22.88203049  -2656.67675781  1328.33776855
3460.000000  8.88270473  -4332.98388672  2166.49096680
3470.000000  60.97225952  -2846.03857422  1423.01867676
3480.000000  -3.64064360  -791.65112305  395.82540894
3490.000000  20.39569473  -636.15478516  318.07730103
3500.000000  1.08916891  -183.09898376  91.54946136
3510.000000  -34.20550537  -649.66937256  260.72198486
3520.000000  467.49752808  -230.84370422  349.51434326
3530.000000  552.18237305  -1667.52148438  1112.95227051
3540.000000  -140.19355774  -1241.00793457  555.42419434
3550.000000  196.87245178  -827.01055908  514.69519043
3560.000000  683.70574951  -1182.40893555  905.04260254
3570.000000  501.02279663  -122.84112549  311.11676025
3580.000000  289.02691650  51.22183990  113.28759003
3590.000000  525.37414551  -225.22209167  376.63183594
3600.000000  -332.80203247  -1381.35119629  513.20440674
3610.000000  -385.23510742  -873.17199707  245.20674133
3620.000000  -652.86688232  -1824.34362793  614.42614746
3630.000000  -319.29705811  -1264.71765137  495.53558350
3640.000000  -714.83087158  -1903.73425293  600.18328857
3650.000000  -334.64877319  -817.82275391  227.38630676
3660.000000  -692.69238281  -1763.38220215  548.84429932
3670.000000  -908.30932617  -3006.33959961  1039.61352539
3680.000000  -624.74182129  -1920.58325195  628.08404541
3690.000000  -975.83782959  -3299.23852539  1158.78015137
3700.000000  -632.69549561  -1536.68750000  458.62976074
3710.000000  -122.25836945  -243.54728699  59.04545593
3720.000000  212.88867188  -17.87309456  105.78526306
3730.000000  167.86773682  -107.85144806  132.32508850
3740.000000  193.60675049  62.95280838  65.72345734
3750.000000  107.57433319  -78.49636078  99.32176971
3760.000000  468.90740967  -632.91033936  549.61834717
3770.000000  -472.17126465  -1283.09301758  398.34494019
3780.000000  94.10013580  -505.32275391  299.86288452
3790.000000  -686.03454590  -1866.62512207  583.83312988
3800.000000  -194.18992615  -674.44494629  243.98869324
3810.000000  -188.20771790  -1082.02954102  474.05932617
3820.000000  381.50564575  -1141.20874023  749.30548096
3830.000000  -333.38299561  -1230.80541992  444.44790649
3840.000000  -518.18743896  -1461.71984863  482.25604248
3850.000000  -968.29791260  -4370.38232422  1648.05676270
3860.000000  -1137.80725098  -3984.68603516  1443.93811035
3870.000000  -1055.04858398  -4686.07714844  1817.43688965
3880.000000  -550.76452637  -1388.03063965  421.02709961
3890.000000  -472.30654907  -1191.58642578  339.92858887
3900.000000  -501.77581787  -1265.74389648  376.51773071
3910.000000  -621.10656738  -1931.47607422  650.34796143
3920.000000  -261.52969360  -605.40100098  183.60252380
3930.000000  -31.70149040  -50.57831192  8.20755196
3940.000000  320.44415283  80.39572906  117.02983856
3950.000000  803.24523926  -693.78106689  741.03442383
3960.000000  88.60066223  -411.49066162  263.58679199
3970.000000  -216.09249878  -396.30163574  98.32555389
3980.000000  679.43139648  -540.12573242  602.81823730
3990.000000  -210.97602844  -485.85739136  127.02933502
4000.000000  114.79766083  -181.95605469  166.18649292
4010.000000  505.30126953  -557.05773926  536.07702637
4020.000000  1191.21643066  -2710.90966797  1945.00952148
4030.000000  1466.92236328  -3566.08764648  2500.57641602
4040.000000  1851.86511230  -8622.79199219  5249.24902344
4050.000000  869.77978516  -1465.65490723  1211.70300293
4060.000000  -73.91886139  -399.46209717  160.75735474
4070.000000  495.20422363  -1271.02099609  892.78833008
4080.000000  250.91940308  -4423.54345703  2343.79687500
4090.000000  255.94407654  -3540.26953125  1932.62585449
4100.000000  110.81982422  -3891.29907227  1931.80114746
4110.000000  -227.08345032  -4015.91674805  1923.06066895
4120.000000  -417.36532593  -5322.97460938  2489.80761719
4130.000000  -76.18995667  -3240.25463867  1556.95983887
4140.000000  40.98228836  -1820.15234375  909.16973877
