time_ps,T_bath_K,T_bath_K_std,T_kinetic_K,T_kinetic_K_std,T_v_fictive_K,T_v_fictive_K_std,T_s_fictive_K,T_s_fictive_K_std
12.600000,300.0000,0.0000,315.5957,6.9317,333.1133,19.9265,312.6353,18.6314
12.700000,300.0000,0.0000,306.8393,6.3896,390.6257,34.3378,315.2050,12.1505
12.800000,300.0000,0.0000,303.8806,4.6201,376.4780,16.9595,316.1131,6.9017
12.900000,300.0000,0.0000,300.4248,1.4545,382.2663,26.1060,321.4818,13.5440
13.000000,300.0000,0.0000,310.4262,13.1993,362.0905,9.5984,312.7214,17.5472
13.100000,300.0000,0.0000,301.6230,8.7036,359.7699,3.0121,324.2756,7.7223
13.200000,300.0000,0.0000,300.2265,4.4397,390.8004,29.7720,323.8133,25.3328
13.300000,300.0000,0.0000,309.8303,7.4040,384.2269,17.5429,310.9166,11.7294
13.400000,300.0000,0.0000,294.1714,4.6717,368.6830,39.5134,325.4546,12.4649
13.500000,300.0000,0.0000,306.2074,9.4839,351.0535,1.3431,308.9116,8.5132
13.600000,300.0000,0.0000,296.1332,4.3563,354.5969,12.6174,316.9244,6.6191
13.700000,300.0000,0.0000,296.4346,6.0803,389.2266,23.6230,312.0907,13.7160
13.800000,300.0000,0.0000,299.4582,6.5431,373.3120,12.1518,312.4894,10.9880
13.900000,300.0000,0.0000,293.2844,4.5457,361.6999,33.5001,315.1755,16.5776
14.000000,300.0000,0.0000,304.3935,6.3343,338.7349,23.3195,305.6708,16.2236
14.100000,300.0000,0.0000,299.5458,12.5249,356.8179,17.4278,308.8003,11.6101
14.200000,300.0000,0.0000,303.4790,4.0766,380.3970,17.9066,303.8074,11.6310
14.300000,300.0000,0.0000,299.9807,2.0783,361.6428,29.8303,307.1751,6.4617
14.400000,300.0000,0.0000,294.4132,4.1148,363.0166,23.3900,313.1608,7.1788
14.500000,300.0000,0.0000,304.5069,2.0844,338.4702,5.0504,301.3695,11.9585
14.600000,300.0000,0.0000,299.1780,5.1103,380.9036,28.4447,305.8975,4.8352
14.700000,300.0000,0.0000,296.4001,3.6993,379.7204,23.9404,310.7100,13.2305
14.800000,300.0000,0.0000,292.1678,2.1679,358.6760,30.4180,314.2323,14.8125
14.900000,300.0000,0.0000,298.3362,2.9358,351.4049,13.8072,304.7265,11.9020
15.000000,300.0000,0.0000,301.8587,4.3642,340.1489,11.4320,302.6098,13.8566
15.100000,300.0000,0.0000,299.4191,6.3898,384.7116,35.7231,304.3587,14.0346
15.200000,300.0000,0.0000,297.3159,4.1638,369.2626,1.2028,315.8727,19.8863
15.300000,300.0000,0.0000,293.2690,13.0826,358.7660,30.0514,316.6223,8.5068
15.400000,300.0000,0.0000,298.6960,4.4999,355.2413,20.3284,309.6228,14.3401
15.500000,300.0000,0.0000,298.3299,4.6208,356.1173,15.3239,308.8989,16.5850
15.600000,300.0000,0.0000,289.1657,4.8069,383.4474,36.3678,318.3660,15.9800
15.700000,300.0000,0.0000,290.5216,7.9544,365.5462,7.1846,313.6605,11.4805
15.800000,300.0000,0.0000,289.3074,3.8139,353.1536,19.5254,317.3120,13.1525
15.900000,300.0000,0.0000,294.6078,12.3557,353.4942,11.9877,310.0719,20.1872
16.000000,300.0000,0.0000,290.7994,3.6480,355.1282,20.1825,313.4219,16.0127
16.100000,300.0000,0.0000,292.1841,3.8707,388.1535,19.4711,315.1127,8.1740
16.200000,300.0000,0.0000,294.8838,2.7838,364.1300,16.5633,321.1731,13.6323
