# turn-on energies from lambda=0 equilibrium snapshots
# lambda_eval=0.03  T=100.0 K  burn_in_ps=1000.0
time_ps  E_coup_turnon_kjmol  E_coup_relaxed_kjmol  E_dse_kjmol
1841.000000  -34.26102066  -241.87170410  120.93579102
1851.000000  92.45659637  -1115.43115234  557.71533203
1861.000000  -15.33890247  -206.16291809  103.08142090
1871.000000  -8.40543842  -214.27803040  107.13896179
1881.000000  16.31480980  -232.43263245  116.21627808
1891.000000  13.63241386  -186.49403381  93.24697876
1901.000000  14.28659153  -1208.26245117  604.13098145
1911.000000  -6.20119143  -1207.17028809  603.58483887
1921.000000  50.20221710  -1375.72045898  687.85992432
1931.000000  31.82716370  -772.54614258  386.27291870
1941.000000  8.32915688  -494.49902344  247.24938965
1951.000000  47.63345718  -735.71368408  367.85665894
1961.000000  12.90793705  -154.60435486  77.30215454
1971.000000  4.62463093  -561.50579834  280.75277710
1981.000000  -7.59387493  -228.44683838  114.22336578
1991.000000  0.67997253  -197.95816040  98.97903442
2001.000000  1.07212055  -230.71534729  115.35762787
2011.000000  -2.01780820  -640.56402588  320.28189087
2021.000000  12.38818264  -62.79316711  31.39656639
2031.000000  -4.96531868  -113.84484100  56.92239380
2041.000000  0.08753253  -206.67852783  103.33921814
2051.000000  23.25625801  -3100.12890625  1550.06372070
2061.000000  -114.93785095  -2859.94653320  1429.97253418
2071.000000  86.15604401  -4370.92089844  2185.45947266
2081.000000  10.73848915  -2985.10107422  1492.54992676
2091.000000  118.99533844  -4075.14453125  2037.57128906
2101.000000  -25.65165710  -3837.39477539  1918.69653320
2111.000000  -10.33263874  -4597.60595703  2298.80200195
2121.000000  -71.13371277  -2410.53247070  1205.26574707
2131.000000  39.57442856  -3991.21044922  1995.60424805
2141.000000  23.88106155  -3251.78540039  1625.89184570
2151.000000  -27.93769455  -3393.00146484  1696.50012207
2161.000000  -22.50967216  -1508.17114258  754.08526611
2171.000000  -77.79504395  -1219.69970703  609.84954834
2181.000000  -6.09065247  -572.21716309  286.10848999
2191.000000  -13.20719337  -461.50637817  230.75309753
2201.000000  -5.35296059  -232.27764893  116.13877106
2211.000000  7.72511292  -82.21164703  41.10580826
2221.000000  35.05478287  -545.41247559  272.70611572
2231.000000  11.04643822  -124.14865875  62.07429886
2241.000000  -4.22435713  -53.32552338  26.66274643
2250.000000  17.38336754  -549.55438232  274.77706909
2260.000000  -21.24704170  -898.80926514  449.40441895
2270.000000  -1.45226908  -1401.91589355  700.95764160
2280.000000  11.51831150  -1139.80261230  569.90106201
2290.000000  21.92289162  -246.17277527  123.08632660
2300.000000  -32.44750977  -1003.01708984  501.50836182
2310.000000  -10.06808853  -274.97302246  137.48645020
2320.000000  -44.43433762  -1271.13659668  635.56805420
2330.000000  2.80640912  -1220.28576660  610.14257812
2340.000000  7.26373672  -168.71498108  84.35746002
2350.000000  7.01858616  -58.10158157  29.05077744
2360.000000  -21.40389061  -332.86062622  166.43026733
2370.000000  -12.90356350  -303.72027588  151.86009216
2380.000000  -0.93767518  -640.81488037  320.40728760
2390.000000  21.95512772  -712.93542480  356.46755981
2400.000000  -4.93586683  -2289.37548828  1144.68725586
2410.000000  -18.90995216  -820.94287109  410.47125244
2420.000000  -0.39811039  -1677.75402832  838.87658691
2430.000000  0.49550277  -209.16000366  104.57996368
2440.000000  36.70567703  -938.93035889  469.46496582
2450.000000  -16.29220200  -270.56503296  135.28245544
2460.000000  -20.69428444  -1016.09954834  508.04956055
2470.000000  3.30820155  -552.24725342  276.12350464
2480.000000  -9.07354832  -168.91004944  84.45499420
2490.000000  39.03223801  -1628.38769531  814.19360352
2500.000000  -11.57580471  -307.69778442  153.84883118
2510.000000  -9.13899899  -107.09134674  53.54565048
2520.000000  9.73774719  -129.40405273  64.70199585
2530.000000  -6.46277952  -168.17796326  84.08894348
2540.000000  1.92343616  -267.65405273  133.82698059
2550.000000  6.37737465  -51.47685623  25.73841858
2560.000000  -35.14883804  -1438.08166504  719.04046631
2570.000000  -15.89886665  -576.66534424  288.33255005
2580.000000  -6.58958578  -871.59039307  435.79501343
2590.000000  -5.16991138  -639.30181885  319.65081787
2600.000000  -27.73037148  -1631.91369629  815.95654297
2610.000000  12.38859558  -227.66264343  113.83128357
2620.000000  -31.40191269  -574.63684082  287.31829834
2630.000000  5.56208229  -439.55120850  219.77548218
2640.000000  -8.87998390  -441.04028320  220.52006531
2650.000000  -1.75769067  -801.90863037  400.95416260
2660.000000  37.96457672  -385.98937988  192.99459839
2670.000000  9.77186680  -93.55684662  46.77840805
2680.000000  -10.30600262  -854.44488525  427.22229004
2690.000000  1.72826803  -8.86926270  4.43462944
2700.000000  -37.15918732  -580.61401367  290.30691528
2710.000000  0.50223815  -158.54205322  79.27099609
2720.000000  -0.67546266  -19.69442749  9.84721088
2730.000000  12.61934757  -101.30149078  50.65072250
2740.000000  -3.49460697  -34.23904037  17.11951256
2750.000000  1.75859427  -109.94226837  54.97111130
2760.000000  11.53311634  -104.67491913  52.33744049
2770.000000  -5.54733181  -32.43712616  16.21855545
2780.000000  6.27131653  -108.92913055  54.46454620
2790.000000  0.50123733  -45.59216309  22.79607201
2800.000000  2.88326836  -432.53189087  216.26586914
2810.000000  -12.18921471  -506.00448608  253.00212097
2820.000000  -50.41244507  -1908.93164062  954.46551514
2830.000000  -18.13903046  -83.54943848  41.77470398
2840.000000  -8.67595863  -778.19293213  389.09631348
2850.000000  5.18802929  -553.79809570  276.89892578
2860.000000  -29.04854393  -729.76263428  364.88116455
2870.000000  -1.33744669  -106.17015076  53.08504868
2880.000000  -9.29060173  -310.11389160  155.05688477
2890.000000  -11.73504353  -75.88811493  37.94404602
2900.000000  10.37982273  -152.44348145  76.22170258
2910.000000  4.60645151  -278.37329102  139.18658447
2920.000000  22.52042198  -477.92065430  238.96022034
2930.000000  -37.20769119  -531.19610596  265.59793091
2940.000000  -12.90013885  -154.84410095  77.42201996
2950.000000  -3.23585534  -282.43698120  141.21842957
2960.000000  19.36771584  -1232.35791016  616.17871094
2970.000000  8.40985107  -521.39471436  260.69726562
2980.000000  -1.80250275  -636.96417236  318.48196411
2990.000000  29.38217354  -185.17271423  92.58631897
3000.000000  -17.42790794  -141.63249207  70.81621552
3010.000000  4.09596586  -38.17393875  19.08695984
3020.000000  -7.78212309  -273.92245483  136.96118164
3030.000000  47.41416550  -1011.16973877  505.58468628
3040.000000  -23.65677071  -2767.30297852  1383.65087891
3050.000000  26.75592804  -2057.81127930  1028.90515137
3060.000000  -7.95149946  -197.75398254  98.87695312
3070.000000  10.49333286  -247.35121155  123.67555237
3080.000000  17.22544861  -865.59613037  432.79788208
3090.000000  -72.88209534  -1292.05175781  646.02563477
3100.000000  29.17100143  -426.08432007  213.04206848
3110.000000  -9.15852737  -673.33752441  336.66864014
3120.000000  -30.47966576  -723.64544678  361.82257080
3130.000000  43.94235992  -674.46069336  337.23019409
3140.000000  -18.95819664  -1077.06213379  538.53088379
3150.000000  -71.84300232  -1249.54943848  624.77447510
3160.000000  -13.03902531  -706.61724854  353.30847168
3170.000000  -16.63233948  -803.17724609  401.58843994
3180.000000  35.18733215  -1122.34509277  561.17230225
3190.000000  14.02757359  -348.93655396  174.46820068
3200.000000  -5.48797178  -1263.03649902  631.51794434
3210.000000  18.58950043  -953.56158447  476.78063965
3220.000000  6.73306656  -696.03118896  348.01544189
3230.000000  18.66033363  -1297.20739746  648.60339355
3240.000000  -30.49562454  -1199.73474121  599.86712646
3250.000000  -9.25181103  -821.80999756  410.90481567
3260.000000  -4.05275822  -5.43995905  2.71997857
3270.000000  -16.32360458  -225.35760498  112.67875671
3280.000000  8.21178532  -651.57733154  325.78854370
3290.000000  6.00625086  -328.38842773  164.19413757
3300.000000  2.64242601  -656.33654785  328.16812134
3310.000000  18.34737968  -1240.93420410  620.46679688
3320.000000  -3.66350341  -292.57440186  146.28712463
3330.000000  33.13035583  -1153.55444336  576.77697754
3340.000000  -3.06643128  -468.97125244  234.48553467
3350.000000  33.75248718  -1371.52478027  685.76208496
3360.000000  -0.49085504  -1807.57580566  903.78753662
3370.000000  41.36000061  -1933.59558105  966.79736328
3380.000000  -7.75162649  -129.12879944  64.56436920
3390.000000  -0.79500377  -401.61477661  200.80731201
3400.000000  -29.33314133  -710.53149414  355.26559448
3410.000000  13.79491711  -102.85639954  51.42817688
3420.000000  -12.64609718  -560.42675781  280.21325684
3430.000000  -8.98315525  -1419.66345215  709.83142090
3440.000000  7.39332056  -1413.17944336  706.58941650
3450.000000  -16.34430695  -1355.44714355  677.72332764
3460.000000  6.34478903  -2210.70605469  1105.35253906
3470.000000  43.55161285  -1452.06042480  726.02996826
3480.000000  -2.60045958  -403.90362549  201.95172119
3490.000000  14.56835365  -324.56878662  162.28433228
3500.000000  0.77797776  -93.41785431  46.70890808
3510.000000  -24.43250275  -357.63265991  133.02140808
3520.000000  333.92678833  -22.22938919  178.32365417
3530.000000  394.41595459  -736.82165527  567.83276367
3540.000000  -100.13825226  -659.73095703  283.37966919
3550.000000  140.62316895  -380.64175415  262.59957886
3560.000000  488.36123657  -475.17205811  461.75643921
3570.000000  357.87341309  39.24435043  158.73303223
3580.000000  206.44779968  82.82723999  57.79978943
3590.000000  375.26724243  -7.14716673  192.15908813
3600.000000  -237.71572876  -777.20867920  261.83898926
3610.000000  -275.16790771  -523.60955811  125.10547638
3620.000000  -466.33343506  -1052.31604004  313.48272705
3630.000000  -228.06932068  -701.11065674  252.82427979
3640.000000  -510.59344482  -1114.83740234  306.21594238
3650.000000  -239.03482056  -491.35034180  116.01342010
3660.000000  -494.78024292  -1035.54040527  280.02258301
3670.000000  -648.79235840  -1723.05700684  530.41503906
3680.000000  -446.24417114  -1115.48376465  320.45104980
3690.000000  -697.02697754  -1883.62927246  591.21435547
3700.000000  -451.92532349  -910.43963623  233.99476624
3710.000000  -87.32740021  -149.86231995  30.12523270
3720.000000  152.06332397  30.41115761  53.97207260
3730.000000  119.90552521  -23.02585411  67.51279449
3740.000000  138.29052734  71.79208374  33.53237534
3750.000000  76.83880615  -15.52911186  50.67437363
3760.000000  334.93386841  -227.74525452  280.41751099
3770.000000  -337.26516724  -753.90808105  203.23719788
3780.000000  67.21437836  -238.55023193  152.99127197
3790.000000  -490.02462769  -1095.00219727  297.87402344
3800.000000  -138.70707703  -382.15966797  124.48402405
3810.000000  -134.43408203  -579.38372803  241.86700439
3820.000000  272.50402832  -509.31054688  382.29870605
3830.000000  -238.13069153  -697.73883057  226.75914001
3840.000000  -370.13388062  -847.24432373  246.04899597
