time_ps,T_bath_K,T_bath_K_std,T_kinetic_K,T_kinetic_K_std,T_v_fictive_K,T_v_fictive_K_std,T_s_fictive_K,T_s_fictive_K_std,E_bond_kjmol,E_bond_kjmol_std,E_nonbonded_kjmol,E_nonbonded_kjmol_std,E_cav_harmonic_kjmol,E_cav_harmonic_kjmol_std,E_cav_coupling_kjmol,E_cav_coupling_kjmol_std,E_cav_dse_kjmol,E_cav_dse_kjmol_std
7.300000,100.0000,0.0000,97.4452,2.4939,83.6434,5.6967,106.4343,3.1874,117.7504,8.0197,-3700.2839,20.8586,1.0548,0.7882,0.0000,0.0000,0.0000,0.0000
7.400000,100.0000,0.0000,99.6953,2.4508,75.1016,5.3644,105.9729,2.1798,105.7256,7.5518,-3703.2269,14.2457,0.8508,0.4560,0.0000,0.0000,0.0000,0.0000
7.500000,100.0000,0.0000,99.2689,3.1315,79.2763,4.8558,106.0105,2.1269,111.6026,6.8359,-3702.9776,13.9130,0.7265,0.7662,0.0000,0.0000,0.0000,0.0000
7.600000,100.0000,0.0000,99.1525,2.5252,80.5225,4.9777,105.3223,1.9264,113.3569,7.0074,-3707.4773,12.6157,0.9743,0.5987,0.0000,0.0000,0.0000,0.0000
7.700000,100.0000,0.0000,99.7283,3.6098,73.7535,3.3430,106.6134,2.5439,103.8277,4.7062,-3699.0628,16.5689,0.6613,0.4802,0.0000,0.0000,0.0000,0.0000
7.800000,100.0000,0.0000,98.9413,3.8217,81.1633,5.3714,105.8485,2.2394,114.2590,7.5617,-3704.0451,14.6717,0.6713,0.4489,0.0000,0.0000,0.0000,0.0000
7.900000,100.0000,0.0000,98.1771,2.5755,79.2039,4.5241,107.1692,2.6304,111.5006,6.3689,-3695.4446,17.1609,1.0409,0.4092,0.0000,0.0000,0.0000,0.0000
8.000000,100.0000,0.0000,99.6865,3.5047,75.8806,3.2850,106.5931,1.8615,106.8222,4.6246,-3699.1549,12.1895,0.8104,0.6557,0.0000,0.0000,0.0000,0.0000
8.100000,100.0000,0.0000,97.9944,3.3360,84.1903,5.5138,107.0822,2.6399,118.5203,7.7622,-3696.0118,17.1971,0.7328,0.3705,0.0000,0.0000,0.0000,0.0000
8.200000,100.0000,0.0000,101.1504,1.6764,78.5092,3.1443,105.7102,2.6288,110.5227,4.4265,-3704.9772,17.2158,1.0773,0.5975,0.0000,0.0000,0.0000,0.0000
8.300000,100.0000,0.0000,99.8131,2.1818,80.1342,5.0133,106.8758,2.7281,112.8102,7.0575,-3697.3639,17.8055,0.6249,0.5541,0.0000,0.0000,0.0000,0.0000
8.400000,100.0000,0.0000,98.4323,1.7382,85.7029,4.1902,106.4998,3.3839,120.6497,5.8989,-3699.8734,22.1438,1.0282,0.5753,0.0000,0.0000,0.0000,0.0000
8.500000,100.0000,0.0000,101.2421,3.1655,77.2971,5.2875,106.4643,3.3045,108.8163,7.4435,-3700.0965,21.5369,0.9947,0.6855,0.0000,0.0000,0.0000,0.0000
8.600000,100.0000,0.0000,99.0373,4.1467,83.2243,5.5430,107.5426,3.0272,117.1604,7.8033,-3693.0445,19.7196,0.7921,0.4503,0.0000,0.0000,0.0000,0.0000
8.700000,100.0000,0.0000,101.0421,2.3001,82.5106,4.2418,105.1024,3.5177,116.1557,5.9714,-3709.0421,23.1291,1.3039,0.7181,0.0000,0.0000,0.0000,0.0000
8.800000,100.0000,0.0000,100.9693,2.6217,75.7582,6.2319,106.7578,2.8722,106.6499,8.7731,-3698.1436,18.6660,0.9848,0.7832,0.0000,0.0000,0.0000,0.0000
8.900000,100.0000,0.0000,98.7255,4.5068,83.9985,5.1603,107.4173,2.3231,118.2503,7.2645,-3693.8084,15.0851,1.1189,0.8502,0.0000,0.0000,0.0000,0.0000
9.000000,100.0000,0.0000,101.3248,3.9556,78.2588,5.3365,106.4713,2.5262,110.1702,7.5125,-3699.9891,16.3997,1.2317,0.8423,0.0000,0.0000,0.0000,0.0000
9.100000,100.0000,0.0000,103.4727,1.8022,76.7817,5.3283,105.9030,2.3915,108.0908,7.5009,-3703.6982,15.7094,1.0293,0.5787,0.0000,0.0000,0.0000,0.0000
9.200000,100.0000,0.0000,99.5636,3.2363,84.8191,5.4669,107.2892,4.1006,119.4056,7.6961,-3694.7974,26.7705,1.4122,1.0483,0.0000,0.0000,0.0000,0.0000
9.300000,100.0000,0.0000,103.1169,1.9126,75.3816,3.9774,105.9101,3.1567,106.1197,5.5993,-3703.7107,20.7456,1.1567,0.9225,0.0000,0.0000,0.0000,0.0000
9.400000,100.0000,0.0000,102.2142,2.6339,81.2509,5.1409,106.3076,2.0654,114.3823,7.2371,-3701.0308,13.5288,1.1552,0.8288,0.0000,0.0000,0.0000,0.0000
9.500000,100.0000,0.0000,99.1641,3.6566,84.3850,4.1963,107.9727,2.4046,118.7944,5.9074,-3690.2039,15.6530,1.4161,0.8181,0.0000,0.0000,0.0000,0.0000
9.600000,100.0000,0.0000,101.9910,3.6014,76.6776,4.9784,107.2787,2.9465,107.9443,7.0085,-3694.7538,19.1185,1.0946,1.0184,0.0000,0.0000,0.0000,0.0000
9.700000,100.0000,0.0000,100.4436,4.8632,85.7818,6.5111,107.1403,4.0143,120.7608,9.1661,-3695.7597,26.3369,1.2515,0.6118,0.0000,0.0000,0.0000,0.0000
9.800000,100.0000,0.0000,100.0458,2.3746,82.1819,3.3011,106.9461,2.8180,115.6929,4.6472,-3696.9118,18.3618,1.3956,1.0156,0.0000,0.0000,0.0000,0.0000
9.900000,100.0000,0.0000,100.2064,4.1050,78.5218,6.1573,108.0280,3.0216,110.5404,8.6680,-3689.8885,19.5648,1.2078,1.0281,0.0000,0.0000,0.0000,0.0000
10.000000,100.0000,0.0000,98.0786,4.1408,86.3593,6.3019,107.8213,3.7995,121.5738,8.8716,-3691.3015,24.6147,1.2134,0.5028,-3.9809,27.0765,803.4668,570.0728
10.100000,100.0000,0.0000,98.8080,3.2606,581.1452,347.4171,107.0933,4.0145,818.1172,489.0824,-3696.0656,26.3099,732.3705,529.7598,-1725.1013,1242.4968,1018.6790,729.1105
10.200000,100.0000,0.0000,131.5496,24.4668,88.6521,6.6511,104.4580,2.4130,124.8015,9.3632,-3713.1914,15.9393,102.8718,136.4029,-467.6514,605.0062,882.1825,701.2414
10.300000,100.0000,0.0000,109.6365,6.9666,375.0217,201.5888,104.2673,2.1659,527.9432,283.7901,-3714.4320,14.2920,659.3739,594.0657,-1549.2033,1346.9663,914.6996,765.8244
10.400000,100.0000,0.0000,153.7902,37.8450,157.0045,56.5793,103.4297,3.8764,221.0257,79.6505,-3720.1122,25.7160,256.8078,290.7610,-823.9039,827.6053,759.0304,630.8031
